identifier,ec_numbers,localization,Gene3D
A0A087X1C5,other,other,other
A0A0B4J2F0,,other,
A0A0B4J2F2,2.7.11,,1.10.510.10
A0A0C5B5G6,,other,
A0A0K2S4Q6,,other,2.60.40.10
A0A0U1RRE5,,other,
A0A1B0GTW7,other,Membrane,other
A0AV02,,Membrane,other
A0AV96,,"Nucleus, Cytoplasm",3.30.70.330
A0AVF1,,other,other
A0AVI4,2.3.2,Endoplasmic reticulum membrane,
A0AVK6,,Nucleus,other
A0AVT1,other,,other
A0FGR8,,other,other
A0FGR9,,other,other
A0JLT2,,Nucleus,
A0JNW5,,other,
A0JP26,,,other
A0M8Q6,,other,2.60.40.10
A0MZ66,,other,other
A0PJK1,,other,other
A0PJY2,,Nucleus,3.30.160.60
A0PK00,,other,
A0PK11,,other,other
A1A4S6,,other,other
A1A4Y4,3.6.5,other,3.40.50.300
A1A519,,Nucleus,
A1A5B4,,other,
A1A5C7,,Membrane,other
A1E959,,other,
A1KXE4,,other,
A1KZ92,other,other,other
A1L0T0,other,Endoplasmic reticulum membrane,other
A1L167,2.3.2,Nucleus,other
A1L190,,other,
A1L390,,other,other
A1L3X0,2.3.1,Endoplasmic reticulum membrane,
A1L4H1,,other,other
A1L4K1,,other,other
A1X283,,other,other
A1XBS5,,other,other
A1Z1Q3,other,Nucleus,other
A2A288,other,other,other
A2A2Y4,,Membrane,other
A2IDD5,,other,
A2PYH4,3.6.4,,other
A2RRP1,,other,2.130.10.10
A2RTX5,other,"Cytoplasm, Nucleus",other
A2RU14,,other,
A2RU30,,other,
A2RU49,other,Cytoplasm,other
A2RUB1,,"Cytoplasm, Nucleus",
A2RUB6,,other,
A2RUC4,other,,other
A2RUH7,,other,2.60.40.10
A2VDJ0,,other,2.60.40.10
A3KMH1,,other,other
A4D0S4,,other,other
A4D126,other,other,
A4D161,,,
A4D1B5,,other,
A4D1E9,,other,other
A4D1P6,,other,2.130.10.10
A4D1T9,,other,other
A4D256,3.1.3,Endoplasmic reticulum membrane,other
A4D2B0,other,other,other
A4GXA9,other,Nucleus,other
A5A3E0,,other,other
A5D8T8,,other,other
A5D8V6,,other,other
A5D8V7,,other,
A5D8W1,,other,other
