identifier,phrog,product,function
phage_0001,267,major head protein,head and packaging
phage_0002,138,major head protein,head and packaging
phage_0003,11233,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_0004,2816,protease,other
phage_0005,2662,portal protein,head and packaging
phage_0006,237,head scaffolding protein,head and packaging
phage_0007,22657,,unknown function
phage_0008,5107,amidase,lysis
phage_0009,13892,minor tail protein,tail
phage_0010,7,endolysin,lysis
phage_0011,442,head-tail adaptor,connector
phage_0012,4102,terminase small subunit,head and packaging
phage_0013,445,terminase small subunit,head and packaging
phage_0014,6651,internal virion protein,head and packaging
phage_0015,812,Rz-like spanin,lysis
phage_0016,2170,glycosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0017,5708,DnaD-like helicase loader,"DNA, RNA and nucleotide metabolism"
phage_0018,394,tail protein,tail
phage_0019,332,head-tail adaptor,connector
phage_0020,1613,tail assembly chaperone,tail
phage_0021,32829,tail fiber protein,tail
phage_0022,25,head closure Hc1,connector
phage_0023,388,nucleotidyltransferase,"DNA, RNA and nucleotide metabolism"
phage_0024,4159,nucleotide pyrophosphohydrolase,other
phage_0025,612,RIIA lysis inhibitor,lysis
phage_0026,6620,transposase,integration and excision
phage_0027,959,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0028,12999,,unknown function
phage_0029,267,major head protein,head and packaging
phage_0030,1373,transcriptional regulator,transcription regulation
phage_0031,267,major head protein,head and packaging
phage_0032,18345,tail fiber protein,tail
phage_0033,3982,,unknown function
phage_0034,21,portal protein,head and packaging
phage_0035,52,tail protein,tail
phage_0036,35419,tail fiber protein,tail
phage_0037,100,SbcD-like subunit of palindrome specific endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0038,1373,transcriptional regulator,transcription regulation
phage_0039,16215,virion structural protein,head and packaging
phage_0040,239,DNA primase/helicase,"DNA, RNA and nucleotide metabolism"
phage_0041,25913,,unknown function
phage_0042,894,endolysin,lysis
phage_0043,341,major tail protein,tail
phage_0044,423,endonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_0045,23,tail sheath,tail
phage_0046,10775,tail protein,tail
phage_0047,73,head scaffolding protein,head and packaging
phage_0048,945,endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0049,1535,tail length tape measure protein,tail
phage_0050,45,tail tube,tail
phage_0051,150,baseplate hub,tail
phage_0052,947,DNA polymerase processivity factor,"DNA, RNA and nucleotide metabolism"
phage_0053,16,DNA helicase,"DNA, RNA and nucleotide metabolism"
phage_0054,3427,holin,lysis
phage_0055,2589,tail protein,tail
phage_0056,4715,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_0057,351,RNA polymerase sigma factor,transcription regulation
phage_0058,8716,tail fiber protein,tail
phage_0059,20531,,unknown function
phage_0060,1770,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_0061,7145,baseplate wedge subunit,tail
phage_0062,4617,replication initiation protein,"DNA, RNA and nucleotide metabolism"
phage_0063,291,endolysin,lysis
phage_0064,87,metallo-protease,other
phage_0065,207,head maturation protease,head and packaging
phage_0066,102,endolysin,lysis
phage_0067,496,tail fiber protein,tail
phage_0068,5304,peptidase,other
phage_0069,10469,DnaD-like helicase loader,"DNA, RNA and nucleotide metabolism"
phage_0070,11439,tail fiber protein,tail
phage_0071,38,terminase large subunit,head and packaging
phage_0072,28737,,unknown function
phage_0073,458,protease,other
phage_0074,332,head-tail adaptor,connector
phage_0075,4722,zinc carboxypeptidase,other
phage_0076,77,SbcC-like subunit of palindrome specific endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0077,6375,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0078,376,tail protein,tail
phage_0079,50,DnaC-like helicase loader,"DNA, RNA and nucleotide metabolism"
phage_0080,15,terminase large subunit,head and packaging
phage_0081,1975,superoxide dismutase precursor,"moron, auxiliary metabolic gene and host takeover"
phage_0082,739,Rz-like spanin,lysis
phage_0083,595,head maturation protease,head and packaging
phage_0084,112,Gp2.5-like ssDNA binding protein and ssDNA annealing protein,"DNA, RNA and nucleotide metabolism"
phage_0085,3304,L-shaped tail fiber protein assembly,tail
phage_0086,67,DNA methyltransferase,other
phage_0087,4200,tail length tape measure protein,tail
phage_0088,17,DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0089,4200,tail length tape measure protein,tail
phage_0090,5281,,unknown function
phage_0091,6059,queuine tRNA-ribosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0092,30,minor tail protein,tail
phage_0093,179,tail terminator,connector
phage_0094,767,cAMP phosphodiesterase,other
phage_0095,114,ATP-dependent DNA ligase,"DNA, RNA and nucleotide metabolism"
phage_0096,80,head maturation protease,head and packaging
phage_0097,14478,virion structural protein,head and packaging
phage_0098,4067,transglycosylase,other
phage_0099,943,anti-termination protein Q-like,transcription regulation
phage_0100,1197,tail protein,tail
phage_0101,559,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0102,211,head-tail adaptor Ad2,connector
phage_0103,1158,tail assembly chaperone,tail
phage_0104,5,tail completion or Neck1 protein,connector
phage_0105,50,DnaC-like helicase loader,"DNA, RNA and nucleotide metabolism"
phage_0106,18104,transcriptional regulator,transcription regulation
phage_0107,15361,portal protein,head and packaging
phage_0108,1482,terminase small subunit,head and packaging
phage_0109,4204,tail terminator,connector
phage_0110,979,terminase large subunit,head and packaging
phage_0111,416,minor tail protein,tail
phage_0112,115,minor head protein,head and packaging
phage_0113,764,cytidyltransferase,other
phage_0114,211,head-tail adaptor Ad2,connector
phage_0115,844,ferredoxin,"moron, auxiliary metabolic gene and host takeover"
phage_0116,17747,,unknown function
phage_0117,5795,tail protein,tail
phage_0118,3282,sigma factor,transcription regulation
phage_0119,3466,,unknown function
phage_0120,725,CII-like regulator,transcription regulation
phage_0121,1550,QueC-like queuosine biosynthesis,"moron, auxiliary metabolic gene and host takeover"
phage_0122,115,minor head protein,head and packaging
phage_0123,993,,unknown function
phage_0124,1357,major head protein,head and packaging
phage_0125,18345,tail fiber protein,tail
phage_0126,3874,transglycosylase,other
phage_0127,2617,short tail fiber protein,tail
phage_0128,45,tail tube,tail
phage_0129,347,tail terminator,connector
phage_0130,465,endolysin,lysis
phage_0131,308,internal virion protein,head and packaging
phage_0132,17744,baseplate wedge subunit,tail
phage_0133,332,head-tail adaptor,connector
phage_0134,15001,endolysin,lysis
phage_0135,822,amidase,lysis
phage_0136,249,porphyrin biosynthesis,"moron, auxiliary metabolic gene and host takeover"
phage_0137,284,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_0138,3437,major head protein,head and packaging
phage_0139,27428,,unknown function
phage_0140,842,beta-glucosyl-HMC-alpha-glucosyltransferase,other
phage_0141,19979,virion structural protein,head and packaging
phage_0142,2482,,unknown function
phage_0143,237,head scaffolding protein,head and packaging
phage_0144,947,DNA polymerase processivity factor,"DNA, RNA and nucleotide metabolism"
phage_0145,2824,virion structural protein,head and packaging
phage_0146,227,tail sheath stabilizer,tail
phage_0147,854,glucosyltransferase,"moron, auxiliary metabolic gene and host takeover"
phage_0148,959,HNH endonuclease,"DNA, RNA and nucleotide metabolism"
phage_0149,6651,internal virion protein,head and packaging
phage_0150,794,tail length tape measure protein,tail
phage_0151,56,DNA methyltransferase,other
phage_0152,63,anti-repressor Ant,transcription regulation
phage_0153,85,thymidylate synthase,"DNA, RNA and nucleotide metabolism"
phage_0154,5702,Holliday junction resolvase,"DNA, RNA and nucleotide metabolism"
phage_0155,283,major head protein,head and packaging
phage_0156,891,terminase small subunit,head and packaging
phage_0157,35,transcriptional repressor,transcription regulation
phage_0158,4715,ParB-like partition protein,"DNA, RNA and nucleotide metabolism"
phage_0159,7241,transcriptional regulator,transcription regulation
phage_0160,6,baseplate wedge subunit,tail
phage_0161,414,RNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0162,249,porphyrin biosynthesis,"moron, auxiliary metabolic gene and host takeover"
phage_0163,25747,tail fiber protein,tail
phage_0164,12,portal protein,head and packaging
phage_0165,225,clamp loader of DNA polymerase,"DNA, RNA and nucleotide metabolism"
phage_0166,51,terminase small subunit,head and packaging
phage_0167,2392,ABC transporter,"moron, auxiliary metabolic gene and host takeover"
phage_0168,1373,transcriptional regulator,transcription regulation
phage_0169,2,terminase large subunit,head and packaging
phage_0170,4271,tail protein,tail
phage_0171,3281,endonuclease VII,"DNA, RNA and nucleotide metabolism"
phage_0172,149,exonuclease,"DNA, RNA and nucleotide metabolism"
phage_0173,18345,tail fiber protein,tail
phage_0174,337,tail protein,tail
phage_0175,7032,tail fiber protein,tail
phage_0176,4492,tail fiber protein,tail
phage_0177,1,integrase,integration and excision
phage_0178,95,integrase,integration and excision
phage_0179,18469,,unknown function
phage_0180,1835,HTH DNA binding protein,"DNA, RNA and nucleotide metabolism"
