identifier,phrog,product,function,product_category
phage_0001,118,head-tail adaptor,connector,connector
phage_0002,1076,FmdB-like transcriptional regulator,transcription regulation,transcription_regulation
phage_0003,952,Rz-like spanin,lysis,lysis
phage_0004,4611,minor head protein,head and packaging,minor_capsid
phage_0005,6050,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0006,1407,major tail protein,tail,major_tail
phage_0007,9961,,unknown function,
phage_0008,597,DNA binding protein,"DNA, RNA and nucleotide metabolism",
phage_0009,4372,tail length tape measure protein,tail,tail_tape_measure
phage_0010,23013,tail length tape measure protein,tail,tail_tape_measure
phage_0011,4008,DNA polymerase,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0012,456,Rz-like spanin,lysis,lysis
phage_0013,37064,tail fiber protein,tail,minor_tail
phage_0014,35,transcriptional repressor,transcription regulation,transcription_regulation
phage_0015,2880,replication initiation protein,"DNA, RNA and nucleotide metabolism",dna_replication
phage_0016,314,homing endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0017,4898,holin,lysis,lysis
phage_0018,26716,polymerase,"DNA, RNA and nucleotide metabolism",
phage_0019,1357,major head protein,head and packaging,major_capsid
phage_0020,95,integrase,integration and excision,recombination
phage_0021,1530,DNA methyltransferase,other,dna_modification
phage_0022,13481,tail fiber protein,tail,minor_tail
phage_0023,2328,transcriptional repressor,transcription regulation,transcription_regulation
phage_0024,3139,aminotransferase,other,transferases
phage_0025,26675,endolysin,lysis,lysis
phage_0026,2760,RecT-like ssDNA annealing protein,"DNA, RNA and nucleotide metabolism",
phage_0027,25848,tail fiber protein,tail,minor_tail
phage_0028,29226,,unknown function,
phage_0029,4,transcriptional repressor,transcription regulation,transcription_regulation
phage_0030,26446,anaerobic ribonucleoside reductase large subunit,"DNA, RNA and nucleotide metabolism",oxidoreductases
phage_0031,1238,phosphoheptose isomerase,"moron, auxiliary metabolic gene and host takeover",
phage_0032,2551,minor tail protein,tail,minor_tail
phage_0033,6078,,unknown function,
phage_0034,3267,tail protein,tail,
phage_0035,1517,endolysin,lysis,lysis
phage_0036,13893,tail protein,tail,
phage_0037,10304,virion structural protein,head and packaging,structural
phage_0038,313,Tail assembly chaperone,tail,tail_assembly
phage_0039,910,tail collar fiber protein,tail,
phage_0040,8510,virion structural protein,head and packaging,structural
phage_0041,20268,,unknown function,
phage_0042,6013,tail protein,tail,
phage_0043,309,terminase small subunit,head and packaging,dna_packaging
phage_0044,59,HNH endonuclease,"DNA, RNA and nucleotide metabolism",endonucleases
phage_0045,58,tail length tape measure protein,tail,tail_tape_measure
phage_0046,7032,tail fiber protein,tail,minor_tail
phage_0047,12050,virion structural protein,head and packaging,structural
