identifier,Order,Family,Genus,protein_category,Protein families
P0CI21,Neogastropoda,Terebridae,Hastula,,
P86110,Scorpiones,Hemiscorpiidae,Opisthacanthus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor kappa-KTx family, Kappa-KTx 2 subfamily"
O46167,Araneae,Agelenidae,Eratigena,,Helical arthropod-neuropeptide-derived (HAND) family
P83405,Scorpiones,Buthidae,Hottentotta,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 09 subfamily"
J3SEZ3,Squamata,Viperidae,Crotalus,,Nucleotide pyrophosphatase/phosphodiesterase family
P0DP10,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
J3S836,Squamata,Viperidae,Crotalus,,Venom complement C3 homolog family
P0DQX2,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
P0DQT5,Neogastropoda,Conidae,Conus,conotoxin,"Conotoxin C superfamily, Consomatin family"
Q1ELT9,Araneae,Zodariidae,Lachesana,cationic_peptide,"Cationic peptide 03 (latarcin) family, 01 subfamily"
P0DJK0,Squamata,Lamprophiidae,Atractaspis,,Endothelin/sarafotoxin family
P0DP56,Blenniiformes,Blenniidae,Meiacanthus,,Opioid neuropeptide precursor family
P0DQH7,Neogastropoda,Conidae,Conus,,FARP (FMRFamide related peptide) family
P0DQH8,Neogastropoda,Conidae,Conus,,FARP (FMRFamide related peptide) family
P85874,Hymenoptera,Vespidae,Polistes,mcd_related,"MCD family, Mastoparan subfamily"
P0DQO7,Araneae,Theraphosidae,Eucratoscelus,neurotoxin,Neurotoxin 30 (phrixotoxin) family
Q0ZZJ6,Squamata,Elapidae,Austrelaps,,Venom complement C3 homolog family
Q0GY42,Scorpiones,Buthidae,Tityus,scorpion_long_toxin,"Long chain scorpion toxin family, Class 2 subfamily"
P0DQQ6,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
P01476,Squamata,Viperidae,Crotalus,,Crotamine-myotoxin family
P86193,Squamata,Viperidae,Crotalus,,Crotamine-myotoxin family
P86942,Neogastropoda,Conidae,Conus,,
P86194,Squamata,Viperidae,Crotalus,,Crotamine-myotoxin family
P0DQT3,Hymenoptera,Vespidae,Parachartergus,mcd_related,"MCD family, Mastoparan subfamily"
P83659,Hymenoptera,Pompilidae,Cyphononyx,bradykinin_related,Bradykinin-related peptide family
P83047,Neogastropoda,Conidae,Conus,,"O2 superfamily, Contryphan family"
P83619,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 01 subfamily"
P01499,Hymenoptera,Apidae,Apis,,
P60179,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin O1 superfamily
I6S7G5,Scolopendromorpha,Scolopendridae,Scolopendra,scoloptoxin,Scoloptoxin-11 family
P83230,Squamata,Elapidae,Oxyuranus,,Natriuretic peptide family
P83406,Scorpiones,Buthidae,Hottentotta,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 09 subfamily"
O46168,Araneae,Agelenidae,Eratigena,,Helical arthropod-neuropeptide-derived (HAND) family
P82428,Hymenoptera,Formicidae,Neoponera,antimicrobial_peptide,"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily"
C7DT09,Hymenoptera,Vespidae,Orancistrocerus,mcd_related,MCD family
P86259,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin T superfamily
P83312,Scorpiones,Buthidae,Parabuthus,,"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family"
P83301,Neogastropoda,Conidae,Conus,,
D1MEI6,Hymenoptera,Vespidae,Eumenes,mcd_related,"MCD family, Eumenitin subfamily"
I6RU32,Scolopendromorpha,Scolopendridae,Scolopendra,scoloptoxin,Scoloptoxin-03 family
P0C1Q5,Hymenoptera,Vespidae,Protonectarina,mcd_related,"MCD family, Mastoparan subfamily"
P60245,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
P0C8E2,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin B superfamily
P0C8E0,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin B superfamily
I6RA66,Scolopendromorpha,Scolopendridae,Scolopendra,scoloptoxin,Scoloptoxin-07 family
J3SBP3,Squamata,Viperidae,Crotalus,,Nucleotide pyrophosphatase/phosphodiesterase family
P59869,Scorpiones,Buthidae,Hottentotta,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 05 subfamily"
Q1ELU8,Araneae,Zodariidae,Lachesana,cationic_peptide,"Cationic peptide 03 (latarcin) family, 06 subfamily"
Q1ELU7,Araneae,Zodariidae,Lachesana,cationic_peptide,"Cationic peptide 03 (latarcin) family, 06 subfamily"
P0C8L9,Scorpiones,Caraboctonidae,Hoffmannihadrurus,phospholipase_a2,"Phospholipase A2 family, Group III subfamily"
P0C1W7,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
P0C1W8,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
P0C249,Neogastropoda,Conidae,Conus,,"O2 superfamily, Contryphan family"
P0C2C5,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin A superfamily
P84914,Hymenoptera,Vespidae,Polybia,mcd_related,"MCD family, Mastoparan subfamily"
P0C5F2,Scorpiones,Hemiscorpiidae,Liocheles,,
Q1ELU2,Araneae,Zodariidae,Lachesana,cationic_peptide,"Cationic peptide 03 (latarcin) family, 03 subfamily"
Q1ELU1,Araneae,Zodariidae,Lachesana,cationic_peptide,"Cationic peptide 03 (latarcin) family, 02 subfamily"
P0CH43,Araneae,Theraphosidae,Cyriopagopus,neurotoxin,"Neurotoxin 23 family, Double-knot toxin subfamily"
P84388,Hymenoptera,Vespidae,Polybia,,
P01478,Araneae,Hexathelidae,Atrax,neurotoxin,Neurotoxin 06 (delta-actx) family
Q1ELU9,Araneae,Zodariidae,Lachesana,cationic_peptide,"Cationic peptide 03 (latarcin) family, 05 subfamily"
P0CE77,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
P0C8S5,Neogastropoda,Conidae,Conus,,
P84701,Neogastropoda,Conidae,Conus,,Conophan family
P0CF38,Scorpiones,Buthidae,Isometrus,,"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family"
P0C8M0,Araneae,Oxyopidae,Oxyopes,,"Spiderine family, Spiderine subfamily"
P86718,Araneae,Oxyopidae,Oxyopes,,"Spiderine family, Cationic/spiderine subfamily"
P0CG45,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
P0DJ94,Squamata,Helodermatidae,Heloderma,hormone_related,Glucagon family
E2E4E4,Squamata,Varanidae,Varanus,,Gastrin/cholecystokinin family
P0DJE3,Araneae,Theridiidae,Latrodectus,cationic_peptide,"Cationic peptide 01 (latrotoxin) family, 03 (alpha-latrotoxin) subfamily"
P60211,Scorpiones,Buthidae,Tityus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 18 subfamily"
P01514,Hymenoptera,Vespidae,Vespula,mcd_related,"MCD family, Mastoparan subfamily"
P01518,Hymenoptera,Vespidae,Vespa,mcd_related,"MCD family, Crabrolin subfamily"
P04205,Hymenoptera,Vespidae,Vespa,mcd_related,"MCD family, Mastoparan subfamily"
P0DRA1,Hymenoptera,Vespidae,Vespa,mcd_related,"MCD family, Mastoparan subfamily"
P0DQZ4,Hymenoptera,Vespidae,Vespa,mcd_related,"MCD family, Mastoparan subfamily"
P05486,Neogastropoda,Conidae,Conus,,Vasopressin/oxytocin family
P83228,Squamata,Elapidae,Oxyuranus,,Natriuretic peptide family
C4PWC4,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
P0C022,Hymenoptera,Vespidae,Anterhynchium,mcd_related,"MCD family, Mastoparan subfamily"
P84389,Hymenoptera,Vespidae,Polybia,,
P85871,Neogastropoda,Conidae,Conus,,FARP (FMRFamide related peptide) family
P0DSL4,Trebouxiales,Trebouxiaceae,Myrmecia,egf,EGF domain peptide family
P0DRA0,Hymenoptera,Vespidae,Vespa,mcd_related,"MCD family, Crabrolin subfamily"
P0CE29,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
P0CJ38,Hymenoptera,Vespidae,Eumenes,mcd_related,"MCD family, Mastoparan subfamily"
P0DJ08,Scorpiones,Hormuridae,Hormurus,,
P0DJC3,Neogastropoda,Conidae,Conus,,
P0CG46,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin B superfamily
I1SB07,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
B3EWV2,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 03 subfamily"
P01502,Hymenoptera,Apidae,Apis,,Melittin family
P01504,Hymenoptera,Apidae,Apis,,Melittin family
L7X8P2,Araneae,Theridiidae,Steatoda,cationic_peptide,"Cationic peptide 01 (latrotoxin) family, 03 (alpha-latrotoxin) subfamily"
N0EAL3,Scorpiones,Buthidae,Androctonus,,"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family"
P01516,Hymenoptera,Vespidae,Vespa,mcd_related,"MCD family, Mastoparan subfamily"
D8VNS9,Squamata,Homalopsidae,Cerberus,ficolin,"Ficolin lectin family, Veficolin subfamily"
B3EWU2,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 01 subfamily"
B3EWV1,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 03 subfamily"
B3EWU1,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 01 subfamily"
B3EWT4,Araneae,Ctenidae,Cupiennius,neurotoxin,"Neurotoxin 02 (plectoxin) family, 07 subfamily"
A0A3G5BIB4,Diptera,Asilidae,Dolopus,,Asilidin-12 family
A0A348G5W2,Hymenoptera,Formicidae,Odontomachus,,Formicidae venom precursor-01 superfamily
A0A3S9V8L7,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
B3EWT3,Araneae,Ctenidae,Cupiennius,neurotoxin,"Neurotoxin 02 (plectoxin) family, 07 subfamily"
D1MZV3,Squamata,Colubridae,Rhabdophis,,Natriuretic peptide family
C0HJY6,Hymenoptera,Formicidae,Anochetus,,Poneritoxin-Ae1 family
A0A8U0LTY4,Hymenoptera,Formicidae,Rhytidoponera,,
B3EWY2,Squamata,Viperidae,Crotalus,,"Natriuretic peptide family, Snake NP subfamily"
A0A6M3Z541,Hymenoptera,Formicidae,Tetramorium,,
B1P1I0,Araneae,Theraphosidae,Chilobrachys,neurotoxin,"Neurotoxin 13 (insecticidal toxin ABC) family, 03 (JZTX-59) subfamily"
B3EWU3,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 01 subfamily"
P01477,Squamata,Viperidae,Crotalus,,Crotamine-myotoxin family
B3EWN1,Araneae,Theraphosidae,Pterinochilus,neurotoxin,Neurotoxin 30 (phrixotoxin) family
D8VNS8,Squamata,Homalopsidae,Cerberus,ficolin,"Ficolin lectin family, Veficolin subfamily"
C0HKZ1,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin M superfamily
F8S122,Squamata,Viperidae,Crotalus,,Ohanin/vespryn family
D1MEJ3,Hymenoptera,Vespidae,Eumenes,mcd_related,MCD family
C0HJV3,Araneae,Zodariidae,Lachesana,cationic_peptide,Cationic peptide 06 (cytoinsectotoxin) family
C0HKK6,Neogastropoda,Turridae,Unedogemmula,,
B3EWW6,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 09 subfamily"
C6EVG1,Squamata,Helodermatidae,Heloderma,hormone_related,Glucagon family
B3EWW5,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 09 subfamily"
B3EWW4,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 07 subfamily"
D2Y168,Neogastropoda,Conidae,Californiconus,,
C0HJV4,Araneae,Zodariidae,Lachesana,cationic_peptide,Cationic peptide 06 (cytoinsectotoxin) family
F6JWU7,Neogastropoda,Conidae,Conus,conotoxin,Conotoxin D superfamily
C0HLZ7,Scorpiones,Buthidae,Buthus,disintegrin,Disintegrin-like family
P01515,Hymenoptera,Vespidae,Vespa,mcd_related,"MCD family, Mastoparan subfamily"
C0HJV5,Araneae,Zodariidae,Lachesana,cationic_peptide,Cationic peptide 06 (cytoinsectotoxin) family
A0A3S9V8L9,Neogastropoda,Conidae,Conus,hormone_related,Insulin family
B3EWX9,Scorpiones,Buthidae,Mesobuthus,scorpion_ktx,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 09 subfamily"
B3EWV4,Araneae,Ctenidae,Cupiennius,cationic_peptide,"Cationic peptide 04 (cupiennin) family, 03 subfamily"
