identifier,Order,Family,Genus,Protein families,Protein names,embeddings_labels,blast_labels
P0CI21,Neogastropoda,Terebridae,Hastula,,Augerpeptide hhe53,-1,-1
P86110,Scorpiones,Hemiscorpiidae,Opisthacanthus,"Short scorpion toxin superfamily, Potassium channel inhibitor kappa-KTx family, Kappa-KTx 2 subfamily",Potassium channel toxin kappa-KTx 2.5 (OcyC8) (OcyKTx6),-1,4
O46167,Araneae,Agelenidae,Eratigena,Helical arthropod-neuropeptide-derived (HAND) family,U1-agatoxin-Ta1b (U1-AGTX-Ta1b) (Insecticidal toxin 2) (TaITX-2),-1,4
P83405,Scorpiones,Buthidae,Hottentotta,"Short scorpion toxin superfamily, Potassium channel inhibitor family, Alpha-KTx 09 subfamily",Potassium channel toxin alpha-KTx 9.6 (BjTx-1),-1,4
J3SEZ3,Squamata,Viperidae,Crotalus,Nucleotide pyrophosphatase/phosphodiesterase family,Venom phosphodiesterase 1 (PDE) (EC 3.6.1.-),-1,4
P0DP10,Neogastropoda,Conidae,Conus,Conotoxin M superfamily,Conotoxin Fi3a (Conotoxin Fi3b),-1,4
J3S836,Squamata,Viperidae,Crotalus,Venom complement C3 homolog family,Venom factor (VF) (CVF-like) (Complement C3 homolog) [Cleaved into: VF alpha chain; VF gamma chain; VF beta chain],-1,4
P0DQX2,Neogastropoda,Conidae,Conus,Conotoxin D superfamily,Alpha-conotoxin PiXXA,-1,4
P0DQT5,Neogastropoda,Conidae,Conus,"Conotoxin C superfamily, Consomatin family",Consomatin Ro1 (ConSST Ro1) (Somatostatin-related peptide) (SSRP),-1,4
Q1ELT9,Araneae,Zodariidae,Lachesana,"Cationic peptide 03 (latarcin) family, 01 subfamily",M-zodatoxin-Lt1a (M-ZDTX-Lt1a) (Latarcin-1) (Ltc-1) (Ltc1),-1,4
P0DJK0,Squamata,Lamprophiidae,Atractaspis,Endothelin/sarafotoxin family,Sarafotoxin-i1 (SRTX-i1) (Sarafotoxin-i3) (SRTX-i3),-1,4
P0DP56,Blenniiformes,Blenniidae,Meiacanthus,Opioid neuropeptide precursor family,Proenkephalin-A (Proenkephalin) [Cleaved into: Synenkephalin; Met-enkephalin (Opioid growth factor) (OGF); Met-enkephalin-His-Asp; Met-enkephalin-Ser],-1,4
P0DQH7,Neogastropoda,Conidae,Conus,FARP (FMRFamide related peptide) family,Conorfamide-As1 (Conorfamide-As1a) (CNF-As1a) (Cono-RFamide-As1a) (Conorfamide-As1b) (CNF-As1b) (Cono-RFamide-As1b),-1,4
P0DQH8,Neogastropoda,Conidae,Conus,FARP (FMRFamide related peptide) family,Conorfamide-As2 (Conorfamide-As2a) (CNF-As2a) (Cono-RFamide-As2a) (Conorfamide-As2b) (CNF-As2b) (Cono-RFamide-As2b),-1,4
