identifier,group,major_group,sub_group,membran_prediction,seq_start,number_cysteines
None|Xetr_1|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MAA,10
None|Xetr_2|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Secreted,MQC,11
None|Xetr_3|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,,8
None|Xetr_5|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MAD,10
None|Xetr_6|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MSP,10
None|Xetr_7|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MAT,10
None|Xetr_8|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,,10
None|Xetr_9|Xenopus_tropicalis,GPIHBP1,Ly-6,GPIHBP1,Membrane,,10
None|Xetr4|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Secreted,MQC,12
None|Hosa_13|Homo_sapiens,Ly6L,Ly-6,Ly6L,Membrane,MER,10
SP|O43653|Homo_sapiens,PSCA,Ly-6,PSCA,Membrane,MAG,10
SP|O94772|Homo_sapiens,Ly6H,Ly-6,Ly6H,Membrane,MLP,10
SP|P0DP57|Homo_sapiens,SLURP2,Ly-6,SLURP2,Secreted,MQL,10
SP|P0DP58|Homo_sapiens,LYNX1,Ly-6,LYNX1,Membrane,MTP,10
SP|P55000|Homo_sapiens,SLURP1,Ly-6,SLURP1,Secreted,MAS,10
SP|Q14210|Homo_sapiens,Ly6D,Ly-6,Ly6D,Membrane,MRT,10
SP|Q16553|Homo_sapiens,Ly6E,Ly-6,Ly6E,Membrane,MKI,10
SP|Q17RY6-2|Homo_sapiens,Ly6K,Ly-6,Ly6K,Secreted,,6
SP|Q6UXB3|Homo_sapiens,LYPD2,Ly-6,LYPD2,Membrane,MRG,11
SP|Q8IV16|Homo_sapiens,GPIHBP1,Ly-6,GPIHBP1,Membrane,MKA,10
None|Phci_11|Phascolarctos_cinereus,Ly6K,Ly-6,Ly6K,Membrane,,11
None|Phci_13|Phascolarctos_cinereus,Ly6K,Ly-6,Ly6K,Membrane,MKV,11
None|Phci_14|Phascolarctos_cinereus,Ly6E,Ly-6,Ly6E,Membrane,MKV,10
None|Phci_15|Phascolarctos_cinereus,Ly6H,Ly-6,Ly6H,Membrane,MPR,10
None|Phci_16|Phascolarctos_cinereus,Ly6H,Ly-6,Ly6H,Membrane,MKI,10
None|Phci_17|Phascolarctos_cinereus,GPIHBP1,Ly-6,GPIHBP1,Membrane,,12
None|Phci_2|Phascolarctos_cinereus,SLURP1,Ly-6,SLURP1,Membrane,MGT,10
None|Phci_3|Phascolarctos_cinereus,LYPD2,Ly-6,LYPD2,Membrane,MLG,10
None|Phci_4|Phascolarctos_cinereus,LYNX1,Ly-6,LYNX1,Membrane,MKF,10
None|Phci_5|Phascolarctos_cinereus,Non-human mammalian Ly6,Ly-6,Non-human mammalian Ly6,Membrane,MKL,11
None|Phci_6|Phascolarctos_cinereus,LYNX1,Ly-6,LYNX1,Membrane,MKS,10
None|Phci_7|Phascolarctos_cinereus,Ly6D,Ly-6,Ly6D,Membrane,MKS,10
None|Phci_8|Phascolarctos_cinereus,Ly6 unique,Ly-6,Ly6 unique,Membrane,MAS,11
None|Oran_1|Ornithorhynchus_anatinus,Ly6K,Ly-6,Ly6K,Membrane,MCH,10
None|Oran_2|Ornithorhynchus_anatinus,Non-human mammalian Ly6,Ly-6,Non-human mammalian Ly6,Membrane,,11
None|Oran_dn_10|Ornithorhynchus_anatinus,GPIHBP1,Ly-6,GPIHBP1,Membrane,MKA,10
None|Oran_dn4|Ornithorhynchus_anatinus,SLURP2,Ly-6,SLURP2,Membrane,MKL,11
None|Oran_dn5|Ornithorhynchus_anatinus,LYNX1,Ly-6,LYNX1,Membrane,MMR,11
